candidate_id,family,symbol,lookback,entry_z,observed_net_sharpe,permutation_count,permutation_mean_sharpe,permutation_median_sharpe,permutation_sharpe_p95,permutation_p_value,bootstrap_count,bootstrap_trade_count,bootstrap_median_total_return,bootstrap_total_return_p05,bootstrap_total_return_p95,bootstrap_probability_negative_return,bootstrap_median_max_drawdown,bootstrap_drawdown_p95,dsr_observation_count,dsr_trial_count,dsr_period_sharpe,dsr_sharpe_standard_error,dsr_benchmark_sharpe,dsr_probability,dsr_skewness,dsr_kurtosis,layer4_pass,failure_reason,fast_window,slow_window
mean_reversion__XAUUSD__entry_z-1p5__lookback-96,mean_reversion,XAUUSD,96.0,1.5,-0.725624110262512,2000,-0.18759872299951333,-0.18476859485568262,0.5120343523485613,0.895552223888056,5000,472,-0.5263262715218362,-0.7536256776146198,-0.14149906738080265,0.9776,0.5858850794378918,0.7734238172114934,38760,48,-0.00934089976864261,0.005091329778192384,0.01150954657408716,2.1082470683568194e-05,0.40485719044820445,42.95057094312291,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__XAUUSD__entry_z-2__lookback-24,mean_reversion,XAUUSD,24.0,2.0,-0.9767940707581259,2000,-0.36006234121455294,-0.3472588139037268,0.3155250085808166,0.9345327336331835,5000,1270,-0.564595974294926,-0.7479719235316868,-0.25891824775874656,0.995,0.6059062023717987,0.766771080408724,38760,48,-0.012574190108229969,0.005083409005746998,0.011491640741360826,1.0996509405552735e-06,-0.050876784126565315,56.98320342340064,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__XAUUSD__entry_z-2__lookback-48,mean_reversion,XAUUSD,48.0,2.0,-0.6245662605685812,2000,-0.24573275493749605,-0.24133897316721692,0.42017445105234175,0.8205897051474262,5000,718,-0.4427478343631469,-0.6786724415686874,-0.04262718382303554,0.967,0.5120810737805255,0.7043266080373456,38760,48,-0.008039990342570682,0.005086003441216582,0.0114975057662505,6.116128454999371e-05,0.21531499197529738,54.50300163831959,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
mean_reversion__XAUUSD__entry_z-2__lookback-96,mean_reversion,XAUUSD,96.0,2.0,-0.6138160670687726,2000,-0.15578051706155577,-0.15105650971391585,0.5791870958653947,0.8575712143928036,5000,362,-0.4505319224438652,-0.7026200707922381,-0.02204334637086078,0.9574,0.5211825375360687,0.7282303844055047,38760,48,-0.007901603981705554,0.005091917336176712,0.01151087481764635,6.880905148117063e-05,0.5191451208566696,53.958982075589354,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,,
trend__ETHUSD__fast_window-12__slow_window-120,trend,ETHUSD,,,0.4867238202461787,2000,-0.053564917103194894,-0.07709294489475502,0.6501942520299785,0.095952023988006,5000,626,0.5479010692547963,-0.9190415498950301,31.565580211461047,0.411,0.8296529772700991,0.9694442206123072,40005,48,0.006167344553288985,0.004985134290036841,0.0112694792498059,0.15304287158072333,1.0277647891570258,53.6385099383941,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,120.0
trend__ETHUSD__fast_window-12__slow_window-240,trend,ETHUSD,,,0.6170425783576102,2000,-0.07079090686804022,-0.09688955090405449,0.5839213470013269,0.04447776111944028,5000,404,1.804577007213941,-0.8447920930131575,76.64151951740672,0.2804,0.7856590932476908,0.9504733786943157,40005,48,0.007818631483571974,0.004979642431660735,0.011257064261480293,0.24494055645747154,1.1299454549758534,53.82847488796135,False,bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,240.0
trend__ETHUSD__fast_window-12__slow_window-72,trend,ETHUSD,,,0.2774657936343313,2000,-0.07633184309204133,-0.10888118602508509,0.6133358398296714,0.18240879560219891,5000,790,-0.47965297517478833,-0.9752466020781617,12.442797518566797,0.6372,0.9033127228514031,0.9890032028478145,40005,48,0.003515807281076118,0.0049908061617693605,0.01128230117938259,0.05983500182059778,1.0628982584115805,53.560504085447114,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,72.0
trend__ETHUSD__fast_window-24__slow_window-120,trend,ETHUSD,,,0.39451402077659253,2000,-0.05170304292498042,-0.07213388005290577,0.6245245331682312,0.12493753123438281,5000,456,-0.052678274043418065,-0.9463474281748143,19.893231099951358,0.5118,0.8518780110411819,0.9775736516224033,40005,48,0.00499894148595814,0.004987903858033306,0.011275740182260512,0.10412282382468863,1.0125822794738324,53.622627755661334,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,120.0
trend__ETHUSD__fast_window-24__slow_window-240,trend,ETHUSD,,,0.7304455796077309,2000,-0.010452412786238699,-0.04436279973389894,0.6520507144619577,0.03498250874562719,5000,282,4.08812585214849,-0.736691128520943,151.15418565552568,0.1844,0.7411566114161157,0.9283416564571457,40005,48,0.009255576529189036,0.00497598253719408,0.011248790641884752,0.34436949394317296,1.14717928431065,53.90031959385036,False,bootstrap_drawdown_p95;deflated_sharpe_probability,24.0,240.0
trend__ETHUSD__fast_window-24__slow_window-72,trend,ETHUSD,,,0.21899821010763634,2000,-0.05640360946803264,-0.07692348248599401,0.6437552318340913,0.23438280859570215,5000,600,-0.6074348525798503,-0.9796927033866719,8.635537361850576,0.6864,0.9170288458726372,0.9905599438131075,40005,48,0.002774956478612928,0.0049931244016841,0.011287541831909732,0.04411013292958451,0.9909244231013214,53.5422876097813,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,72.0
trend__SPXUSD__fast_window-12__slow_window-120,trend,SPXUSD,,,0.12158880919735914,2000,0.12822293246244584,0.11999755433159376,0.7052523539657143,0.49825087456271866,5000,501,0.010378661317063559,-0.48275719042044274,1.086701804227883,0.4894,0.3535393042062682,0.5783138113386966,38223,48,0.001571575668970231,0.005118502601559822,0.01157097392012877,0.025375523971410845,-0.8576670564839558,54.3184368640619,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,120.0
trend__SPXUSD__fast_window-12__slow_window-240,trend,SPXUSD,,,0.24241909299645495,2000,0.18574416748110006,0.17434323582442257,0.7590637138743646,0.42978510744627685,5000,355,0.1787959103085648,-0.3823759551667105,1.4107008900499236,0.3558,0.3066091169140858,0.5065667248223217,38223,48,0.0031333471456955024,0.005121481378374651,0.011577707793591638,0.04959306401234963,-0.7709525393454961,54.38035864461398,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,240.0
trend__SPXUSD__fast_window-12__slow_window-72,trend,SPXUSD,,,-0.24451513128821,2000,0.055414535699102555,0.04109076596619715,0.6525097839864934,0.8055972013993004,5000,723,-0.36530600220496723,-0.6773773159714856,0.29135889429897965,0.855,0.5076371450309136,0.7163754968144743,38223,48,-0.003160439135511813,0.0051085293534817704,0.01154842822612542,0.001992944957552064,-0.8386549886024744,54.18581381040293,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,12.0,72.0
trend__SPXUSD__fast_window-24__slow_window-120,trend,SPXUSD,,,0.11000081291602004,2000,0.14850896397705887,0.1150717211256932,0.7279710998904216,0.5067466266866567,5000,373,0.014076345732301106,-0.4851994392531983,1.0421536134898057,0.4878,0.3584692101360924,0.5838915614722529,38223,48,0.0014217969752887273,0.0051179099192357694,0.01156963409240016,0.02369439215939219,-0.7891269282153986,54.31058423521783,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,120.0
trend__SPXUSD__fast_window-24__slow_window-240,trend,SPXUSD,,,0.03690679307064339,2000,0.2054189252622604,0.18749403223228928,0.7846909783465229,0.6606696651674163,5000,263,-0.09764162306077334,-0.5085647959160114,0.8476096910171943,0.6032,0.3693015852824968,0.5855797895034823,38223,48,0.00047703253607324613,0.005115839438656458,0.011564953528834939,0.01510329613987533,-0.7043689662167056,54.36205749360756,False,permutation_p_value;bootstrap_drawdown_p95;bootstrap_probability_negative_return;deflated_sharpe_probability,24.0,240.0
